Title,Author,Book_Ref,Class_Code,Imprint,Publisher_Group,Rank,Volume,RRP,ASP,Binding,Pub_Date
Anya the Cuddly Creatures Fairy Princess Fairies,Meadows; Daisy,11682,CN001F,Mistletow Books,Sinclair Books,3115,7981,4.99,3.56,Paperback,04/08/2011
Aphrodite's Hat,Vickers; Salley,12235,SY011F,Fourth Bridge,Collin Turner Group,3462,5927,7.99,6.74,Paperback,09/06/2011
Apprentice; The,Gerritsen; Tess,11466,CE003F,Poultry Books,Transformation Group,2606,9114,7.99,5.54,Paperback,01/01/2010
Arachnid the King of Spiders Beast Quest,Blade; Adam,11742,CN001F,Mistletow Books,Sinclair Books,3266,7707,4.99,3.98,Paperback,08/05/2008
Arcta the Mountain Giant Beast Quest,Blade; Adam,10897,CN001F,Mistletow Books,Sinclair Books,1169,15509,4.99,4.06,Paperback,05/07/2007
Ark Angel Alex Rider,Horowitz; Anthony,11381,CN001F,Seabrook Books Ltd,Seabrook Group,2406,9618,6.99,5.65,Paperback,01/04/2005
Arrow Knife,Anderson; R J,11785,CN001F,Mistletow Books,Sinclair Books,3357,7499,5.99,5.04,Paperback,06/01/2011
Art of Friendship; The,Kaye; Erin,11694,GL002F,Shire,Collin Turner Group,3142,7930,6.99,1.78,Paperback,18/02/2010
Artemis Fowl and the Atlantis Complex Artemis Fowl,Colfer; Eoin,11194,CN001F,Peacote Books,Emu Group,1904,11283,6.99,5.63,Paperback,07/04/2011
Artemis Fowl Artemis Fowl,Colfer; Eoin,10635,CN001F,Peacote Books,Emu Group,573,21761,6.99,3.04,Paperback,07/04/2011
Arthur High King of Britain,Morpurgo; Michael,11458,CN001F,Ravenglass Books,Egburt Books Group,2591,9183,5.99,5.17,Paperback,06/05/2008
Artichoke Hearts,Brahmachari; Sita,11122,CN001F,Millen Childrens Books,Panda Millen Group,1719,12221,5.99,5.06,Paperback,07/01/2011
Ask and the Answer; The,Ness; Patrick,11825,YT014F,Seabrook Books Ltd,Seabrook Group,3463,7353,7.99,6.93,Paperback,07/09/2009
Assassin's Creed Brotherhood,Bowden; Oliver,10257,CE003F,Emu Books,Emu Group,1716,12249,6.99,5.05,Paperback,25/11/2010
Assassin's Creed Renaissance,Bowden; Oliver,10427,CE003F,Emu Books,Emu Group,61,31126,6.99,5.32,Paperback,26/11/2009
Assassin's Creed Revelations,Bowden; Oliver,10609,CE003F,Emu Books,Emu Group,508,22470,6.99,4.2,Paperback,24/11/2011
Assassin's Creed The Secret Crusade,Bowden; Oliver,10260,CE003F,Emu Books,Emu Group,340,25029,6.99,4.71,Paperback,23/06/2011
Assegai,Smith; Wilbur,11922,CE003F,Panda Books,Panda Millen Group,3706,6940,7.99,6.01,Paperback,07/05/2010
Associate; The,Grisham; John,11532,CE003F,Quiver Books,Fletchers Green Group,2766,8741,7.99,6.14,Paperback,08/08/2009
Astrosaurs The Sabre tooth Secret Astrosaurs,Cole; Steve,11955,CN001F,Black Squirrel,Fletchers Green Group,3785,6830,4.99,4.33,Paperback,03/02/2011
At Home with the Templetons,McInerney; Monica,10460,GL002F,Panda Books,Panda Millen Group,137,28813,7.99,4.71,Paperback,01/04/2011
At Sea,Graham; Laurie,11904,GL002F,Oak Publishing Plc,Oak Group,3660,7001,7.99,4.65,Paperback,15/09/2011
At the Gates of Darkness,Feist; Raymond E,12086,SN010F,HyperVoyager,Collin Turner Group,4108,6368,6.99,6.05,Paperback,03/03/2011
Atlas Shrugged,Rand; Ayn,11756,GL002F,Emu Classics,Emu Group,3289,7654,10.99,8.25,Paperback,01/02/2007
Atonement,McEwan; Ian,11445,GL002F,Antique,Fletchers Green Group,2567,9265,8.99,6.36,Paperback,02/05/2002
Attack of the Lizard King Dinosaur Cove,Stone; Rex,12287,CN001F,Kings Press,OAP Group,4600,5823,4.99,4.13,Paperback,06/03/2008
Auschwitz Violin; The,Anglada; Maria Angels,10974,GL002F,Vectar,PC Reubens Group,1326,14150,6.99,5.75,Paperback,15/09/2011
Autumn Crush; An,Johnson; Milly,10270,GL002F,Gary & Balding Ltd,Gary & Balding Group,1504,13098,6.99,3.92,Paperback,29/09/2011
Awakened House of Night,Cast; P C & Cast; Kristin,10228,YT014F,Proton,Large Red Book Company,1371,13932,12.99,8.24,Hardback,07/10/2010
Awakening; The AND The Struggle Bks 1 & 2 Vampire Diaries,Smith; L J,10512,YT014F,Sinclair Childrens Books,Sinclair Books,251,26441,8.99,7.19,Hardback,06/08/2009
Baby Be Mine,Toon; Paige,10514,GL002F,Gary & Balding Ltd,Gary & Balding Group,253,26396,6.99,4.28,Paperback,21/07/2011
Bad Beginning; The Series of Unfortunate Events,Snicket; Lemony,11765,CN001F,Ravenglass Books,Egburt Books Group,3311,7619,5.99,5.34,Paperback,04/01/2010
Bad Boy,Robinson; Peter,10080,CE003F,Sinclair Paperback,Sinclair Books,787,19009,7.99,4.9,Paperback,28/04/2011
Bad Girls,Wilson; Jacqueline,12364,CN001F,Deer,Transformation Group,4784,5640,5.99,4.94,Paperback,05/10/2006
Bad Luck and Trouble Jack Reacher,Child; Lee,11073,CE003F,Poultry Books,Transformation Group,1580,12745,7.99,6.13,Paperback,06/01/2011
Bad Sisters,Chance; Rebecca,10420,GL002F,Gary & Balding Ltd,Gary & Balding Group,37,31559,6.99,4.53,Paperback,04/08/2011
Balisk the Water Snake Beast Quest,Blade; Adam,10791,CN001F,Mistletow Books,Sinclair Books,929,17578,4.99,3.7,Paperback,01/03/2011
Ballad,Stiefvater; Maggie,11039,YT014F,Solar,Solar Group Ltd,1498,13140,7.99,5.23,Paperback,05/05/2011
Banged Up,Thompson; Ronnie,11800,TE018N,Deadline Review,Deadline Group,3394,7441,7.99,5.49,Paperback,08/07/2010
Barry the Fish with Fingers,Hendra; Sue,10687,PS008F,Gary & Balding Childrens Books,Gary & Balding Group,697,20251,5.99,4.18,Paperback,06/07/2009
Barry the Fish with Fingers and the Hairy Scary Monster,Hendra; Sue,10620,PS008F,Gary & Balding Childrens Books,Gary & Balding Group,540,22101,5.99,4.44,Paperback,04/08/2011
Battle of the Fang Space Marine Battles,Wraight; Chris,11605,SN010F,Read Duck Library,Read Duck Library Group,2938,8375,8.99,7.94,Paperback,09/06/2011
Battle of the Giants The Charlie Small Journals Valley,Stone; Rex & Small; Charlie,11408,CN001F,David Banks Books,David Banks International,2478,9500,1,0.91,Paperback,04/03/2010
Battle Won; A,Russell; Sean Thomas,11029,CE003F,Emu Books,Emu Group,1481,13211,6.99,5.2,Paperback,17/03/2011
Battlefield 3 The Russian,McNab; Andy & Grimsdale; Peter,10876,CE003F,Foilfish,Shallot Group,1126,15786,18.99,10.66,Hardback,28/10/2011
Beach Cafe; The,Diamond; Lucy,10156,GL002F,Panda Books,Panda Millen Group,2037,10828,6.99,4.4,Paperback,03/06/2011
Bearers of the Black Staff Legends of Shannara,Brooks; Terry,12333,SN010F,Spinning,Large Red Book Company,4707,5708,7.99,6.43,Paperback,12/03/2011
Beast Quest Master Your Destiny The Dagger of Doom v2 Beast Quest,Blade; Adam,10951,CN001F,Mistletow Books,Sinclair Books,1277,14672,4.99,3.9,Paperback,07/04/2011
Beatrix Potter the Complete Tales The 23 Original Tales,Potter; Beatrix,11254,PS008F,Astall Publishers Ltd,Emu Group,2072,10733,35,24.3,Hardback,05/10/2006
Beautiful Creatures,Taylor; Lulu,10818,GL002F,Quiver Books,Fletchers Green Group,983,17146,6.99,4.38,Paperback,20/01/2011
Becoming Scarlett,Geraghty; Ciara,11342,GL002F,Sinclair Paperback,Sinclair Books,2295,9899,6.99,4.49,Paperback,01/12/2010
Bedtime Bear; The a Popup Book for Bedtime,Whybrow; Ian,10557,EG004F,Millen Childrens Books,Panda Millen Group,369,24653,7.99,4.52,Paperback,01/10/2004
Bedtime Peekaboo!,Fry; Jason,11185,EG004F,Darling Hawken Australia,Emu Group,1870,11376,4.99,3.15,Hardback,02/02/2006
Before I Die,Downham; Jenny,11389,YT014F,David Banks Books,Fletchers Green Group,2429,9571,6.99,6.17,Paperback,29/04/2010
Before I Die,Downham; Jenny,11875,YT014F,Read Duck,Transformation Group,3577,7146,7.99,6.71,Hardback,09/10/2008
Before I Fall,Oliver; Lauren,11958,YT014F,Sinclair Paperback,Sinclair Books,3794,6822,6.99,5.28,Paperback,22/07/2010
Before I Go to Sleep,Watson; S J,10385,CE003F,Singleweek,Transformation Group,377,24433,12.99,8.45,Hardback,28/04/2011
Before I Go to Sleep,Watson; S J,11430,GL002F,Singleweek,Transformation Group,2528,9357,12.99,10.52,Paperback,15/09/2011
Before I Knew You,Brookfield; Amanda,11941,GL002F,Emu Books,Emu Group,3755,6877,6.99,5.67,Paperback,17/03/2011
Before the Frost,Mankell; Henning,11961,CE003F,Antique,Fletchers Green Group,3802,6810,7.99,6.33,Paperback,07/05/2009
Before the Poison,Robinson; Peter,10807,CE003F,Sinclair & White Ltd,Sinclair Books,958,17354,18.99,10.48,Hardback,18/08/2011
Beg to Die,Barton; Beverly,11870,CE003F,Shire,Collin Turner Group,3567,7158,6.99,2.39,Paperback,18/03/2010
Behind the Scenes at the Museum,Atkinson; Kate,11166,GL002F,Read Duck,Transformation Group,1825,11663,7.99,6.62,Paperback,03/01/1998
Bell Jar; The,Plath; Sylvia,12065,GL002F,Sabre and Sabre,Sabre Group,4057,6444,7.99,6.91,Hardback,05/02/1976
Bell Jar; The,Plath; Sylvia,12169,GL002F,Sabre and Sabre,Sabre Group,4317,6148,6.99,4.76,Paperback,02/06/2005
Belle,Pearse; Lesley,10037,GL002F,Emu Books,Emu Group,1993,10969,7.99,4.55,Paperback,07/07/2011
Belle,Pearse; Lesley,10589,GL002F,Frank Jepson,Emu Group,459,23029,18.99,10.36,Hardback,03/02/2010
Belle the Birthday Fairy Summer 2010 Special 2010 Rainbow Magic,Meadows; Daisy,11598,CN001F,Mistletow Books,Sinclair Books,2929,8404,5.99,4.89,Paperback,06/05/2010
Berlin Noir WITH March Violet,Kerr; Philip,11685,CE003F,Emu Books,Emu Group,3123,7977,16.99,13.53,Paperback,29/04/1993
Bertie Plays The Blues 44 Scotland Street,McCall Smith; Alexander,11678,GL002F,Norwegian Blue Books,Norwegian Group,3102,8019,16.99,12.33,Hardback,18/07/2011
Best Bedtime Stories Ever,Scarry; Richard,11485,PS008F,Hyperturner Childrens Books,Collin Turner Group,2651,9031,6.99,5.57,Paperback,06/01/2011
Best Friends,Wilson; Jacqueline,10985,CN001F,Knine Yearling Books,Transformation Group,1360,14004,5.99,5.03,Paperback,09/10/2008
Best of Everything; The,Jaffe; Rona,11091,GL002F,Emu Classics,Emu Group,1638,12584,8.99,7.25,Paperback,20/11/2010
Best of Pippi Longstocking; The Three Books in One,Lindgren; Astrid,11636,CN001F,Kings Press,OAP Group,2998,8205,8.99,7.05,Paperback,09/10/2003
Betrayal of Natalie Hargrove; The,Kate; Lauren,11177,YT014F,Knine Childrens,Transformation Group,1855,11434,6.99,4.4,Paperback,06/11/2010
Betrayal of Trust; The,Hill; Susan,11749,GL002F,Chateaux Wind,Fletchers Green Group,3278,7677,14.99,10.63,Hardback,06/10/2011
Betrayal; The,Dunmore; Helen,10469,GL002F,Emu Books,Emu Group,155,28371,8.99,6.01,Paperback,03/02/2011
Betrayed House of Night,Cast; P C & Cast; Kristin,11460,YT014F,Proton,Large Red Book Company,2592,9149,6.99,5.19,Paperback,05/02/2009
Between Shades of Gray,Sepetys; Ruta,10870,CN001F,Norseman,Emu Group,1115,15868,6.99,4.6,Paperback,09/06/2011
Between Shades of Gray,Sepetys; Ruta,12294,CN001F,Peacote Books,Emu Group,4611,5800,6.99,5.39,Paperback,07/04/2010
BFG; The My Roald Dahl,Dahl; Roald,10225,CN001F,Peacote Books,Emu Group,58,31136,9.99,6.97,Hardback,06/09/2007
Bible of the Dead; The,Knox; Tom,10377,CE003F,Brooklyn,Collin Turner Group,3328,7593,6.99,4.62,Paperback,17/03/2011
Big Girl,Steel; Danielle,10088,GL002F,Knine Books,Transformation Group,1343,14054,7.99,4.81,Paperback,17/03/2011
Big Nate on a Roll Big Nate,Peirce; Lincoln,11359,CN001F,Hyperturner Childrens Books,Collin Turner Group,2361,9809,5.99,4.55,Paperback,01/09/2011
Big Nate Strikes Again Big Nate,Peirce; Lincoln,11190,CN001F,Hyperturner Childrens Books,Collin Turner Group,1887,11313,5.99,4.74,Paperback,28/10/2010
Billionaire Boy,Walliams; David,10092,CN001F,Hyperturner Childrens Books,Collin Turner Group,1098,15977,6.99,4.99,Paperback,09/06/2011
Billionaire Boy,Walliams; David,10419,CN001F,Hyperturner Childrens Books,Collin Turner Group,29,31722,12.99,8.36,Hardback,28/10/2010
Billy the Kid,Morpurgo; Michael,12248,CN001F,Collin,Collin Turner Group,4512,5901,4.99,4.3,Paperback,01/01/2002
Birdsong,Faulks; Sebastian,10562,GL002F,Antique,Fletchers Green Group,385,24344,7.99,6.35,Paperback,18/07/1994
Birth of a Killer The Saga of Larten Crepsley,Shan; Darren,11231,CN001F,Hyperturner Childrens Books,Collin Turner Group,2001,10925,6.99,5.52,Paperback,28/04/2011
Birthday Party; The,Henry; Veronica,10698,GL002F,Constellation,Shallot Group,732,19794,6.99,4.57,Paperback,21/07/2011
Bit Lost; A,Haughton; Chris,11139,PS008F,Seabrook Books Ltd,Seabrook Group,1765,11964,6.99,6.3,Paperback,02/05/2011
Bite Club The Morganville Vampires,Caine; Rachel,10454,YT014F,Bird & Bushby,Bird & Bushby Group,122,29052,7.99,5.84,Paperback,02/05/2011
Bitter Legacy; A,Page; Lynda,11390,GL002F,Deadline Book Publishing,Deadline Group,2430,9566,5.99,4.32,Paperback,03/03/2011
Blackhouse; The Lewis Trilogy,May; Peter,10124,CE003F,Oak Publishing Plc,Oak Group,96,29887,7.99,5.1,Paperback,01/09/2011
Blackout,Ryan; Chris,11173,CE003F,Quiver Books,Fletchers Green Group,1850,11463,7.99,3.1,Paperback,20/04/2006
Blade Itself; The First Law,Abercrombie; Joe,11843,SN010F,Gollileth,Shallot Group,3500,7265,8.99,6.6,Paperback,08/03/2007
Blasphemer; The,Farndale; Nigel,10203,GL002F,Read Duck,Transformation Group,960,17353,7.99,5.71,Paperback,06/01/2011
Bleed for Me,Robotham; Michael,10354,CE003F,Ellipses,Large Red Book Company,112,29339,6.99,4.77,Paperback,31/12/2010
Blind Assassin; The,Atwood; Margaret,11483,GL002F,Virgo Press Ltd,Large Red Book Company,2648,9048,8.99,7.21,Paperback,19/05/2001
Blind Eye,MacBride; Stuart,11641,CE003F,Brooklyn,Collin Turner Group,3013,8193,7.99,5.43,Paperback,07/01/2010
Blind Fury,La Plante; Lynda,10048,CE003F,Gary & Balding Ltd,Gary & Balding Group,108,29437,7.99,4.61,Paperback,23/06/2011
Blood and Ashes,Hilton; Matt,12277,CE003F,Sinclair Paperback,Sinclair Books,4575,5844,6.99,4.35,Paperback,21/07/2011
Blood Brothers,Cox; Josephine,10872,GL002F,Brooklyn,Collin Turner Group,1120,15806,7.99,5.14,Paperback,30/09/2010
